BSN;Name;PLZ;Adresse;City;Latitude;Longitude;;;;;;;;;;;;;
07G36;Grundschule am Dielingsgrund;12305;Dielingsgrund 35;Berlin;52.412;13.40822;;;;;;;;;;;;;
06P05;Emil-Molt-Schule;14165;Claszeile 60;Berlin;52.418;13.25846;;;;;;;;;;;;;
07Y05;Luise-Henriette-Gymnasium;12105;Kurfürstenstr. 53-54;Berlin;52.448;13.3839;;;;;;;;;;;;;
02P05;Fachschulen der Stiftung SPI Berlin;10963;Hallesches Ufer 32-38;Berlin;52.499;13.38644;;;;;;;;;;;;;
02G32;Clara-Grunwald-Grundschule;10963;Hallesche Str. 24;Berlin;52.501;13.38485;;;;;;;;;;;;;
11Y11;Immanuel-Kant-Gymnasium;10317;Lückstr. 63;Berlin;52.502;13.48943;;;;;;;;;;;;;
01P25;Internationale Lomonossow-Schule Berlin (Gemeinschaftsschule);10785;Genthiner Str. 20;Berlin;52.504;13.3594;;;;;;;;;;;;;
02G10;Modersohn-Grundschule;10245;Niemannstr. 3;Berlin;52.507;13.46017;;;;;;;;;;;;;
04G07;Ludwig-Cauer-Grundschule;10587;Cauerstr. 36-38;Berlin;52.516;13.31605;;;;;;;;;;;;;
11S02;Schule am Fennpfuhl;10369;Alfred-Jung-Str. 19;Berlin;52.524;13.4768;;;;;;;;;;;;;
11S12;Nils-Holgersson-Schule;10369;Otto-Marquardt-Str. 12-14;Berlin;52.534;13.4722;;;;;;;;;;;;;
03G15;Schule am Senefelderplatz;10435;Schönhauser Allee 165;Berlin;52.535;13.41202;;;;;;;;;;;;;
10G17;Beatrix-Potter-Grundschule;12629;Ludwigsfelder Str. 7;Berlin;52.547;13.58954;;;;;;;;;;;;;
10G08;Wilhelm-Busch-Grundschule;12679;Parsteiner Ring 24/46;Berlin;52.553;13.58132;;;;;;;;;;;;;
12G12;Borsigwalder Grundschule;13509;Miraustr. 100;Berlin;52.588;13.30507;;;;;;;;;;;;;
09G29;Schmöckwitzer Insel-Schule (Grundschule);12527;Adlergestell 776;Berlin;52.37617;13.64782;;;;;;;;;;;;;
07Y08;Ulrich-von-Hutten-Gymnasium;12307;Rehagener Str. 35-37;Berlin;52.38588;13.40403;;;;;;;;;;;;;
07G29;Käthe-Kollwitz-Grundschule;12307;Mellener Str. 38-42;Berlin;52.38622;13.40489;;;;;;;;;;;;;
07G35;Nahariya-Grundschule;12309;Nahariyastr. 13-17;Berlin;52.3912;13.41959;;;;;;;;;;;;;
07Y09;Georg-Büchner-Gymnasium;12305;Lichtenrader Damm 224;Berlin;52.39261;13.40551;;;;;;;;;;;;;
07K02;Carl-Zeiss-Schule;12305;Barnetstr. 12-14;Berlin;52.3943;13.40404;;;;;;;;;;;;;
07K04;Theodor-Haubach-Schule;12305;Grimmstr. 9-11;Berlin;52.39821;13.4038;;;;;;;;;;;;;
07G30;Annedore-Leber-Grundschule;12305;Halker Zeile 137-149;Berlin;52.39842;13.40144;;;;;;;;;;;;;
09Y04;Anne-Frank-Gymnasium;12524;Uranusstr. 15-17;Berlin;52.39994;13.52455;;;;;;;;;;;;;
07G26;Grundschule im Taunusviertel;12309;Wiesbadener Str. 20;Berlin;52.40046;13.41949;;;;;;;;;;;;;
08G37;Rose-Oehmichen-Schule (Grundschule);12355;Lieselotte-Berger-Str. 65;Berlin;52.40107;13.50205;;;;;;;;;;;;;
09K03;Fritz-Kühn-Schule (Integrierte Sekundarschule);12526;Dahmestr. 45;Berlin;52.40125;13.5645;;;;;;;;;;;;;
08Y06;Hannah-Arendt-Gymnasium;12355;Elfriede-Kuhr-Str. 17;Berlin;52.40386;13.50816;;;;;;;;;;;;;
07G32;Bruno-H.-Bürgel-Grundschule;12305;Rackebüller Weg 70;Berlin;52.40492;13.40251;;;;;;;;;;;;;
09G14;Schule am Buntzelberg (Grundschule);12526;Schulzendorfer Str. 112;Berlin;52.40585;13.5744;;;;;;;;;;;;;
07K03;Gustav-Heinemann-Oberschule;12279;Waldsassener Str. 62;Berlin;52.40642;13.34747;;;;;;;;;;;;;
09G11;Schule am Pegasuseck (Grundschule);12524;Pegasuseck 5;Berlin;52.40645;13.52915;;;;;;;;;;;;;
09G15;Schule am Mohnweg (Grundschule);12524;Mohnweg 20;Berlin;52.40717;13.53723;;;;;;;;;;;;;
09G13;Schule am Altglienicker Wasserturm (Grundschule);12524;Sachsenstr. 22;Berlin;52.41068;13.55426;;;;;;;;;;;;;
06B02;Louise-Schroeder-Schule (OSZ Bürowirtschaft und Verwaltung);12207;Lippstädter Str. 9-11;Berlin;52.4114;13.30558;;;;;;;;;;;;;
08G11;Schliemann-Grundschule;12355;Groß-Ziethener Chaussee 81;Berlin;52.41173;13.48482;;;;;;;;;;;;;
07G34;Marienfelder Schule (Grundschule);12279;Erbendorfer Weg 13;Berlin;52.41201;13.35242;;;;;;;;;;;;;
06G30;Mercator-Grundschule;12207;Mercatorweg 8-10;Berlin;52.41223;13.31706;;;;;;;;;;;;;
08G25;Michael-Ende-Schule (Grundschule);12355;Neuhofer Str. 41;Berlin;52.41345;13.50997;;;;;;;;;;;;;
07K05;Solling-Schule;12277;Alt-Marienfelde 52;Berlin;52.41399;13.3653;;;;;;;;;;;;;
09G20;Müggelheimer Schule (Grundschule);12559;Odernheimer Str. 28;Berlin;52.4145;13.66718;;;;;;;;;;;;;
06G05;Conrad-Schule (Grundschule);14109;Schulstr. 4;Berlin;52.41484;13.1468;;;;;;;;;;;;;
07P06;Katholische Schule Sankt Hildegard;12277;Malteserstr. 171 A;Berlin;52.41554;13.35928;;;;;;;;;;;;;
08K04;Heinrich-Mann-Schule;12353;Gerlinger Str. 22;Berlin;52.41565;13.43319;;;;;;;;;;;;;
07G28;Kiepert-Grundschule;12277;Prechtlstr. 21-23;Berlin;52.4159;13.37357;;;;;;;;;;;;;
08Y05;Leonardo-da-Vinci-Gymnasium;12349;Haewererweg 35;Berlin;52.41642;13.42582;;;;;;;;;;;;;
07P04;Katholische Schule Sankt Alfons (Grundschule);12249;Tennstedter Str. 1;Berlin;52.41668;13.35093;;;;;;;;;;;;;
06G29;Grundschule am Karpfenteich;12209;Hildburghauser Str. 135;Berlin;52.41742;13.33287;;;;;;;;;;;;;
07S03;Steinwald-Schule;12277;Hanielweg 7-9;Berlin;52.41776;13.36462;;;;;;;;;;;;;
09G10;Schule am Berg (Grundschule);12524;Köpenicker Str. 31;Berlin;52.41872;13.53801;;;;;;;;;;;;;
08K05;Clay-Schule;12355;Bildhauerweg 9;Berlin;52.41905;13.48873;;;;;;;;;;;;;
08G30;Schule am Sandsteinweg (Grundschule);12349;Hornblendeweg 2;Berlin;52.41922;13.40546;;;;;;;;;;;;;
06G02;Süd-Grundschule;14165;Claszeile 56;Berlin;52.41925;13.25777;;;;;;;;;;;;;
09K09;Grünauer Gemeinschaftsschule;12527;Walchenseestr. 40;Berlin;52.41935;13.57602;;;;;;;;;;;;;
06P18;Bilinguale Schule Phorms Berlin Süd;14167;Harry-S.-Truman-Allee 3;Berlin;52.42034;13.28388;;;;;;;;;;;;;
06G09;Dreilinden-Grundschule;14109;Dreilindenstr. 65;Berlin;52.42038;13.18549;;;;;;;;;;;;;
08G28;Matthias-Claudius-Schule (Grundschule);12355;Köpenicker Str. 148;Berlin;52.42045;13.50113;;;;;;;;;;;;;
06Y04;Dreilinden-Gymnasium;14109;Dreilindenstr. 49;Berlin;52.42056;13.18782;;;;;;;;;;;;;
08G26;Christoph-Ruden-Schule (Grundschule);12349;An den Achterhöfen 13;Berlin;52.42072;13.43487;;;;;;;;;;;;;
08G31;Janusz-Korczak-Schule (Grundschule);12353;Wildhüterweg 5;Berlin;52.42108;13.45738;;;;;;;;;;;;;
08S07;Schule am Bienwaldring;12349;Breitunger Weg 1;Berlin;52.42154;13.42524;;;;;;;;;;;;;
06P08;Sancta-Maria-Schule der Hedwigschwestern;14109;Dreilindenstr. 24-26;Berlin;52.4217;13.19366;;;;;;;;;;;;;
08S04;Schule am Zwickauer Damm;12353;Zwickauer Damm 16-22;Berlin;52.42219;13.48163;;;;;;;;;;;;;
06G22;Giesensdorfer Grundschule;12207;Ostpreußendamm 63;Berlin;52.42223;13.31104;;;;;;;;;;;;;
06G10;Grundschule am Buschgraben;14165;Ludwigsfelder Str. 43-47;Berlin;52.42241;13.24358;;;;;;;;;;;;;
08K02;Hermann-von-Helmholtz-Schule;12353;Wutzkyallee 68;Berlin;52.42242;13.47276;;;;;;;;;;;;;
06G08;Schweizerhof-Grundschule;14167;Leo-Baeck-Str. 28-30;Berlin;52.42246;13.26455;;;;;;;;;;;;;
08G34;Lisa-Tetzner-Schule (Grundschule);12353;Hasenhegerweg 12;Berlin;52.42253;13.44474;;;;;;;;;;;;;
08S05;Schule am Hasenhegerweg;12353;Hasenhegerweg 12;Berlin;52.42253;13.44474;;;;;;;;;;;;;
06G27;Grundschule am Königsgraben;12249;Gallwitzallee 136-144;Berlin;52.42311;13.34735;;;;;;;;;;;;;
09P07;Evangelische Schule Köpenick (Gymnasium);12557;Grüne Trift 169;Berlin;52.42339;13.59233;;;;;;;;;;;;;
08G33;Schule am Fliederbusch (Grundschule);12357;Kornradenstr. 2;Berlin;52.42362;13.48717;;;;;;;;;;;;;
08P02;Katholische Schule Sankt Marien (Grundschule);12353;Hugo-Heimann-Str. 2;Berlin;52.42378;13.462;;;;;;;;;;;;;
08G16;Hugo-Heimann-Schule (Grundschule);12353;Hugo-Heimann-Str. 20;Berlin;52.4253;13.45693;;;;;;;;;;;;;
06G24;Grundschule unter den Kastanien;12209;Kastanienstr. 6 -8;Berlin;52.42568;13.32471;;;;;;;;;;;;;
06K01;John-F.-Kennedy-Schule;14167;Teltower Damm 87-93;Berlin;52.42576;13.26192;;;;;;;;;;;;;
08K13;Gemeinschaftsschule Campus Efeuweg;12357;Efeuweg 34;Berlin;52.42725;13.47322;;;;;;;;;;;;;
08S09;Schule an der Windmühle;12349;Buckower Damm 176;Berlin;52.42742;13.43449;;;;;;;;;;;;;
09P06;Montessori Campus Berlin Köpenick (Gemeinschaftsschule);12557;Köpenzeile 125;Berlin;52.42783;13.59503;;;;;;;;;;;;;
09P11;Berufsbildungszentrum Chemie;12489;Adlergestell 333;Berlin;52.42836;13.55251;;;;;;;;;;;;;
09G16;Wendenschloß-Schule (Grundschule);12557;Köpenzeile 123;Berlin;52.42844;13.59532;;;;;;;;;;;;;
06K04;Bröndby-Schule (Integrierte Sekundarschule);12249;Dessauerstr. 63;Berlin;52.42848;13.34579;;;;;;;;;;;;;
06Y02;Droste-Hülshoff-Gymnasium;14165;Schönower Str. 8;Berlin;52.42882;13.2572;;;;;;;;;;;;;
